route_id,service_id,trip_id,trip_headsign,block_id,trip_short_name,direction_id,wheelchair_accessible,shape_id
西バイパス線(48252),土日祝,土日祝_15時35分_系統48252,U50西部〈営〉（西バイパス線）,,,0,1,48252
観光通り線(22021),土日祝,土日祝_15時35分_系統22021,K37問屋町（観光通り線）,,,0,1,22021
造道・八重田線(1052),土日祝,土日祝_15時37分_系統1052,C10古川→東部〈営〉（造道・八重田線）,,,0,1,1052
造道・八重田線(49091),土日祝,土日祝_15時40分_系統49091,C11浅虫水族館（造道・八重田線）,,,0,1,49091
国道・古川線(35162),土日祝,土日祝_15時40分_系統35162,A1青森駅（国道・古川線）,,,1,1,35162
国道・古川線(36252),土日祝,土日祝_15時40分_系統36252,A1西滝→青森駅（国道・古川線）,,,1,1,36252
国道・古川線(39182),土日祝,土日祝_15時42分_系統39182,A1青森駅（国道・古川線）,,,1,1,39182
新町線(12142),土日祝,土日祝_15時43分_系統12142,B1明の星→青森駅（新町線）,,,1,1,12142
浪館通り線(35161),土日祝,土日祝_15時44分_系統35161,P40慈恵会病院（浪館通り線）,,,0,1,35161
新町線(49092),土日祝,土日祝_15時44分_系統49092,B1青森駅（新町線）,,,1,1,49092
造道・八重田線(25051),土日祝,土日祝_15時45分_系統25051,C13築木館（造道・八重田線）,,,0,1,25051
旭町通り線(37031),土日祝,土日祝_15時46分_系統37031,M42南高校（旭町通り線）,,,0,1,37031
沖館・新田線(45131),土日祝,土日祝_15時49分_系統45131,W53野木和団地（沖館・新田線）,,,0,1,45131
国道・古川線(28102),土日祝,土日祝_15時49分_系統28102,A1旭町→青森駅（国道・古川線）,,,1,1,28102
国道・古川線(56021),土日祝,土日祝_15時50分_系統56021,A1東バイパス→青森駅（国道・古川線）,,,1,1,56021
造道・八重田線(45022),土日祝,土日祝_15時50分_系統45022,C10県病→東部〈営〉（造道・八重田線）,,,1,1,45022
造道・八重田線(1022),土日祝,土日祝_15時50分_系統1022,C10古川→東部〈営〉（造道・八重田線）,,,0,1,1022
中筒井線(8021),土日祝,土日祝_15時50分_系統8021,J24田茂木沢（中筒井線）,,,0,1,8021
石江・新城線(39081),土日祝,土日祝_15時56分_系統39081,T50西部〈営〉（石江・新城線）,,,0,1,39081
小柳線(6161),土日祝,土日祝_15時59分_系統6161,F10東部〈営〉（小柳線(桜川経由)）,,,0,1,6161
国道・古川線(6162),土日祝,土日祝_16時00分_系統6162,A1小柳団地→青森駅（国道・古川線）,,,1,1,6162
浜田循環(80041),土日祝,土日祝_16時00分_系統80041,K35浜田循環→青森駅（観光通り線）,,,1,1,80041
浪館通り線(36221),土日祝,土日祝_16時04分_系統36221,P51三内丸山遺跡（浪館通り線）,,,0,1,36221
横内環状線(14021),土日祝,土日祝_16時05分_系統14021,J32横内環状→青森駅（中筒井線）,,,1,1,14021
